marca,item_fuente,item_canonico,sku_master,familia_producto,subfamilia,tamano,unidad_base,precio_regular,categoria_fuente,url_fuente,precio_base_fuente,sku_comparable,ID_PRODUCTO,SKU,nombre_producto,descripcion,tamaño,categoria,fecha_inicio,fecha_fin,fuente_precio
Bembos,Sundae Chocoteja,Sundae Chocoteja,BEMBOS_SUNDAE_CHOCOTEJA,Postre,Complementos,,unidad,7.9,Complementos,https://www.bembos.com.pe/menu/complementos,7.9,CMP_SUNDAE_CHOCOTEJA,,,,,,,,,
Bembos,Sundae Chocolúcuma,Sundae Chocolúcuma,BEMBOS_SUNDAE_CHOCOLUCUMA,Postre,Complementos,,unidad,7.9,Complementos,https://www.bembos.com.pe/menu/complementos,7.9,CMP_SUNDAE_CHOCOLUCUMA,,,,,,,,,
Bembos,Sundae Chocomaracuyá,Sundae Chocomaracuyá,BEMBOS_SUNDAE_CHOCOMARACUYA,Postre,Complementos,,unidad,7.9,Complementos,https://www.bembos.com.pe/menu/complementos,7.9,CMP_SUNDAE_CHOCOMARACUYA,,,,,,,,,
Bembos,Coca Cola Sabor Original 500 ml,Coca Cola Sabor Original 500 ml,BEMBOS_COCA_COLA_SABOR_ORIGINAL_500_ML,Bebida,Complementos,,botella,5.9,Complementos,https://www.bembos.com.pe/menu/complementos,5.9,CMP_COCA_COLA,,,,,,,,,
Bembos,Coca Cola Sin Azúcar 500 ml,Coca Cola Sin Azúcar 500 ml,BEMBOS_COCA_COLA_SIN_AZUCAR_500_ML,Bebida,Complementos,,botella,5.9,Complementos,https://www.bembos.com.pe/menu/complementos,5.9,CMP_COCA_COLA_SIN_AZUCAR,,,,,,,,,
Bembos,Inca Kola Sabor Original 500 ml,Inca Kola Sabor Original 500 ml,BEMBOS_INCA_KOLA_SABOR_ORIGINAL_500_ML,Complementos,Complementos,,botella,5.9,Complementos,https://www.bembos.com.pe/menu/complementos,5.9,CMP_INCA_KOLA,,,,,,,,,
Bembos,Inca kola Sin Azúcar 500 ml,Inca kola Sin Azúcar 500 ml,BEMBOS_INCA_KOLA_SIN_AZUCAR_500_ML,Complementos,Complementos,,botella,5.9,Complementos,https://www.bembos.com.pe/menu/complementos,5.9,CMP_INCA_KOLA_SIN_AZUCAR,,,,,,,,,
Bembos,Agua San Luis sin gas 625 ml,Agua San Luis sin gas 625 ml,BEMBOS_AGUA_SAN_LUIS_SIN_GAS_625_ML,Bebida,Complementos,,botella,4.9,Complementos,https://www.bembos.com.pe/menu/complementos,4.9,CMP_AGUA_SAN_LUIS,,,,,,,,,
Bembos,Pollo Parrillero,Pollo Parrillero Regular,BEMBOS_POLLO_PARRILLERO_REGULAR,Pollo,Pollo,Regular,unidad,12.9,Pollo,https://www.bembos.com.pe/menu/pollo,15.9,CMP_POLLO_PARRILLERO_REGULAR,,,,,,,,,
Bembos,Pollo Parrillero,Pollo Parrillero Mediana,BEMBOS_POLLO_PARRILLERO_MEDIANA,Pollo,Pollo,Mediana,unidad,15.9,Pollo,https://www.bembos.com.pe/menu/pollo,15.9,CMP_POLLO_PARRILLERO_MEDIANA,,,,,,,,,
Bembos,Pollo Parrillero,Pollo Parrillero Grande,BEMBOS_POLLO_PARRILLERO_GRANDE,Pollo,Pollo,Grande,unidad,18.9,Pollo,https://www.bembos.com.pe/menu/pollo,15.9,CMP_POLLO_PARRILLERO_GRANDE,,,,,,,,,
Bembos,Chicken Grill,Chicken Grill Regular,BEMBOS_CHICKEN_GRILL_REGULAR,Pollo,Pollo,Regular,unidad,14.9,Pollo,https://www.bembos.com.pe/menu/pollo,17.9,CMP_CHICKEN_GRILL_REGULAR,,,,,,,,,
Bembos,Chicken Grill,Chicken Grill Mediana,BEMBOS_CHICKEN_GRILL_MEDIANA,Pollo,Pollo,Mediana,unidad,17.9,Pollo,https://www.bembos.com.pe/menu/pollo,17.9,CMP_CHICKEN_GRILL_MEDIANA,,,,,,,,,
Bembos,Chicken Grill,Chicken Grill Grande,BEMBOS_CHICKEN_GRILL_GRANDE,Pollo,Pollo,Grande,unidad,20.9,Pollo,https://www.bembos.com.pe/menu/pollo,17.9,CMP_CHICKEN_GRILL_GRANDE,,,,,,,,,
Bembos,Bembroster Clásica,Bembroster Clásica Regular,BEMBOS_BEMBROSTER_CLASICA_REGULAR,Pollo,Pollo,Regular,unidad,11.9,Pollo,https://www.bembos.com.pe/menu/pollo,14.9,CMP_BEMBROSTER_CLASICA_REGULAR,,,,,,,,,
Bembos,Bembroster Clásica,Bembroster Clásica Mediana,BEMBOS_BEMBROSTER_CLASICA_MEDIANA,Pollo,Pollo,Mediana,unidad,14.9,Pollo,https://www.bembos.com.pe/menu/pollo,14.9,CMP_BEMBROSTER_CLASICA_MEDIANA,,,,,,,,,
Bembos,Bembroster Clásica,Bembroster Clásica Grande,BEMBOS_BEMBROSTER_CLASICA_GRANDE,Pollo,Pollo,Grande,unidad,17.9,Pollo,https://www.bembos.com.pe/menu/pollo,14.9,CMP_BEMBROSTER_CLASICA_GRANDE,,,,,,,,,
Bembos,Menú Taypá,Menú Taypá Regular,BEMBOS_MENU_TAYPA_REGULAR,Menu y Ensaladas,Menu y Ensaladas,Regular,unidad,18.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,21.9,CMP_MENU_TAYPA_REGULAR,,,,,,,,,
Bembos,Menú Taypá,Menú Taypá Mediana,BEMBOS_MENU_TAYPA_MEDIANA,Menu y Ensaladas,Menu y Ensaladas,Mediana,unidad,21.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,21.9,CMP_MENU_TAYPA_MEDIANA,,,,,,,,,
Bembos,Menú Taypá,Menú Taypá Grande,BEMBOS_MENU_TAYPA_GRANDE,Menu y Ensaladas,Menu y Ensaladas,Grande,unidad,24.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,21.9,CMP_MENU_TAYPA_GRANDE,,,,,,,,,
Bembos,Menú A Lo Pobre,Menú A Lo Pobre Regular,BEMBOS_MENU_A_LO_POBRE_REGULAR,Menu y Ensaladas,A lo Pobre,Regular,unidad,17.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,20.9,CMP_MENU_A_LO_POBRE_REGULAR,,,,,,,,,
Bembos,Menú A Lo Pobre,Menú A Lo Pobre Mediana,BEMBOS_MENU_A_LO_POBRE_MEDIANA,Menu y Ensaladas,A lo Pobre,Mediana,unidad,20.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,20.9,CMP_MENU_A_LO_POBRE_MEDIANA,,,,,,,,,
Bembos,Menú A Lo Pobre,Menú A Lo Pobre Grande,BEMBOS_MENU_A_LO_POBRE_GRANDE,Menu y Ensaladas,A lo Pobre,Grande,unidad,23.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,20.9,CMP_MENU_A_LO_POBRE_GRANDE,,,,,,,,,
Bembos,Burger Menú,Burger Menú Regular,BEMBOS_BURGER_MENU_REGULAR,Menu y Ensaladas,Menu y Ensaladas,Regular,unidad,12.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,15.9,CMP_BURGER_MENU_REGULAR,,,,,,,,,
Bembos,Burger Menú,Burger Menú Mediana,BEMBOS_BURGER_MENU_MEDIANA,Menu y Ensaladas,Menu y Ensaladas,Mediana,unidad,15.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,15.9,CMP_BURGER_MENU_MEDIANA,,,,,,,,,
Bembos,Burger Menú,Burger Menú Grande,BEMBOS_BURGER_MENU_GRANDE,Menu y Ensaladas,Menu y Ensaladas,Grande,unidad,18.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,15.9,CMP_BURGER_MENU_GRANDE,,,,,,,,,
Bembos,Menú Tumbay,Menú Tumbay Regular,BEMBOS_MENU_TUMBAY_REGULAR,Menu y Ensaladas,Menu y Ensaladas,Regular,unidad,15.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,18.9,CMP_MENU_TUMBAY_REGULAR,,,,,,,,,
Bembos,Menú Tumbay,Menú Tumbay Mediana,BEMBOS_MENU_TUMBAY_MEDIANA,Menu y Ensaladas,Menu y Ensaladas,Mediana,unidad,18.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,18.9,CMP_MENU_TUMBAY_MEDIANA,,,,,,,,,
Bembos,Menú Tumbay,Menú Tumbay Grande,BEMBOS_MENU_TUMBAY_GRANDE,Menu y Ensaladas,Menu y Ensaladas,Grande,unidad,21.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,18.9,CMP_MENU_TUMBAY_GRANDE,,,,,,,,,
Bembos,Menú Pechugón,Menú Pechugón Regular,BEMBOS_MENU_PECHUGON_REGULAR,Menu y Ensaladas,Menu y Ensaladas,Regular,unidad,14.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,17.9,CMP_MENU_PECHUGON_REGULAR,,,,,,,,,
Bembos,Menú Pechugón,Menú Pechugón Mediana,BEMBOS_MENU_PECHUGON_MEDIANA,Menu y Ensaladas,Menu y Ensaladas,Mediana,unidad,17.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,17.9,CMP_MENU_PECHUGON_MEDIANA,,,,,,,,,
Bembos,Menú Pechugón,Menú Pechugón Grande,BEMBOS_MENU_PECHUGON_GRANDE,Menu y Ensaladas,Menu y Ensaladas,Grande,unidad,20.9,Menu y Ensaladas,https://www.bembos.com.pe/menu/bembos-menus,17.9,CMP_MENU_PECHUGON_GRANDE,,,,,,,,,
Popeyes,Alitas x4,Alitas,POPEYES_ALITAS,Alitas,,,unidad,2.73,"Tenders, Alitas y Nuggets",https://www.popeyes.com.pe/menu/tenders-alita-y-nuggets,10.9,CMP_ALITAS,,,,,,,,,
Popeyes,Tenders x3,Tender,POPEYES_TENDER,Tender,,,unidad,4.63,"Tenders, Alitas y Nuggets",https://www.popeyes.com.pe/menu/tenders-alita-y-nuggets,13.9,CMP_TENDER,,,,,,,,,
Popeyes,Nuggets x4,Nuggets,POPEYES_NUGGETS,Nuggets,,,unidad,2.73,"Tenders, Alitas y Nuggets",https://www.popeyes.com.pe/menu/tenders-alita-y-nuggets,10.9,CMP_NUGGETS,,,,,,,,,
Popeyes,Personal Chicharron Pop XL Combo,Chicharrón XL,POPEYES_CHICHARRON_XL,Chicharrón,XL,,unidad,21.9,"Tenders, Alitas y Nuggets",https://www.popeyes.com.pe/menu/tenders-alita-y-nuggets,21.9,CMP_CHICHARRON_XL,,,,,,,,,
Popeyes,Personal 3 Piezas Combo,Personal 3 Piezas Combo,POPEYES_PERSONAL_3_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,26.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,26.9,CMP_PERSONAL_3_PIEZAS_COMBO,,,,,,,,,
Popeyes,Personal 2 Piezas Combo,Personal 2 Piezas Combo,POPEYES_PERSONAL_2_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,20.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,20.9,CMP_PERSONAL_2_PIEZAS_COMBO,,,,,,,,,
Popeyes,Pieza de Pollo x2,Pieza de Pollo,POPEYES_PIEZA_POLLO,Pollo,,,unidad,7.45,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,14.9,CMP_PIEZA_POLLO,,,,,,,,,
Popeyes,Dúo 4 Piezas Combo,Dúo 4 Piezas Combo,POPEYES_DUO_4_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,38.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,38.9,CMP_DUO_4_PIEZAS_COMBO,,,,,,,,,
Popeyes,Festi 12 Piezas Combo,Festi 12 Piezas Combo,POPEYES_FESTI_12_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,78.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,78.9,CMP_FESTI_12_PIEZAS_COMBO,,,,,,,,,
Popeyes,Promo Festi 10 Piezas Salsatón,Promo Festi 10 Piezas Salsatón,POPEYES_PROMO_FESTI_10_PIEZAS_SALSATON,Salsa,Pollo Frito,,porcion,59.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,59.9,CMP_PROMO_FESTI_10_PIEZAS_SALSATON,,,,,,,,,
Popeyes,Promo Festi 6 Piezas,Promo Festi 6 Piezas,POPEYES_PROMO_FESTI_6_PIEZAS,Postre,Pollo Frito,,unidad,39.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,39.9,CMP_PROMO_FESTI_6_PIEZAS,,,,,,,,,
Popeyes,Festi 8 Piezas Combo,Festi 8 Piezas Combo,POPEYES_FESTI_8_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,58.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,58.9,CMP_FESTI_8_PIEZAS_COMBO,,,,,,,,,
Popeyes,Festi 10 Piezas Combo,Festi 10 Piezas Combo,POPEYES_FESTI_10_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,68.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,68.9,CMP_FESTI_10_PIEZAS_COMBO,,,,,,,,,
Popeyes,Festi 6 Piezas Combo,Festi 6 Piezas Combo,POPEYES_FESTI_6_PIEZAS_COMBO,Postre,Pollo Frito,,unidad,48.9,Pollo Frito,https://www.popeyes.com.pe/menu/pollo-frito,48.9,CMP_FESTI_6_PIEZAS_COMBO,,,,,,,,,
