sku_master,sku_comparable,fecha_inicio,fecha_fin,precio_regular,fuente_precio,url_fuente,precio_base_fuente
BEMBOS_MENU_A_LO_POBRE_MEDIANA,CMP_MENU_A_LO_POBRE_MEDIANA,2026-05-01,,20.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,20.9
BEMBOS_MENU_A_LO_POBRE_GRANDE,CMP_MENU_A_LO_POBRE_GRANDE,2026-05-01,,23.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,20.9
BEMBOS_BURGER_MENU_REGULAR,CMP_BURGER_MENU_REGULAR,2026-05-01,,12.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,15.9
BEMBOS_BURGER_MENU_MEDIANA,CMP_BURGER_MENU_MEDIANA,2026-05-01,,15.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,15.9
BEMBOS_BURGER_MENU_GRANDE,CMP_BURGER_MENU_GRANDE,2026-05-01,,18.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,15.9
BEMBOS_MENU_TUMBAY_REGULAR,CMP_MENU_TUMBAY_REGULAR,2026-05-01,,15.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,18.9
BEMBOS_MENU_TUMBAY_MEDIANA,CMP_MENU_TUMBAY_MEDIANA,2026-05-01,,18.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,18.9
BEMBOS_MENU_TUMBAY_GRANDE,CMP_MENU_TUMBAY_GRANDE,2026-05-01,,21.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,18.9
BEMBOS_MENU_PECHUGON_REGULAR,CMP_MENU_PECHUGON_REGULAR,2026-05-01,,14.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,17.9
BEMBOS_MENU_PECHUGON_MEDIANA,CMP_MENU_PECHUGON_MEDIANA,2026-05-01,,17.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,17.9
BEMBOS_MENU_PECHUGON_GRANDE,CMP_MENU_PECHUGON_GRANDE,2026-05-01,,20.9,web_bembos,https://www.bembos.com.pe/menu/bembos-menus,17.9
